CNAE;descricao;categoria;Justificativa com Base Lei 4186.2007;inscricao;ZONA_CORREDOR
111301;Cultivo de arroz;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";100;2A2
111302;Cultivo de milho;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";200;2A2
111303;Cultivo de trigo;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";300;2A2
111399;Cultivo de outros cereais não especificados anteriormente;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";400;corredor_2
112101;Cultivo de algodão herbáceo;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";400;corredor_2
112102;Cultivo de juta;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";500;1A3
112199;Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";500;1Ax
113000;Cultivo de cana-de-açúcar;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";700;1Ax
114800;Cultivo de fumo;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";800;corredor_2
115600;Cultivo de soja;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";900;2Ax
116401;Cultivo de amendoim;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";1000;corredor_2
116402;Cultivo de girassol;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";1000;corredor_2
116403;Cultivo de mamona;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";1200;corredor_2
116499;Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";1300;corredor_2
119901;Cultivo de abacaxi;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";1400;4A2
119902;Cultivo de alho;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";1500;1Ax
119903;Cultivo de batata-inglesa;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";1600;1Ax
119904;Cultivo de cebola;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";1700;2A2
119905;Cultivo de feijão;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";1800;2A2
119906;Cultivo de mandioca;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";1900;corredor_2
119907;Cultivo de melão;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";1900;corredor_2
119908;Cultivo de melancia;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";2000;4C2
119909;Cultivo de tomate rasteiro;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";2100;corredor_2
119999;Cultivo de outras plantas de lavoura temporária não especificadas anteriormente;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";2300;1Ax
121101;Horticultura, exceto morango;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";2400;1A3
121102;Cultivo de morango;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";2400;1Ax
122900;Cultivo de flores e plantas ornamentais;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";2500;corredor_2
131800;Cultivo de laranja;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";2600;1Ax
132600;Cultivo de uva;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";2700;2Ax
133401;Cultivo de açaí;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";2800;2A2
133402;Cultivo de banana;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";2900;2A2
133403;Cultivo de caju;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";3000;1Ax
133404;Cultivo de cítricos, exceto laranja;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";3100;1Ax
133405;Cultivo de coco-da-baía;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";3200;corredor_2
133406;Cultivo de guaraná;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";3300;2Ax
133407;Cultivo de maçã;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";3400;2Ax
133408;Cultivo de mamão;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";3500;2A2
133409;Cultivo de maracujá;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";3600;corredor_2
133410;Cultivo de manga;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";3700;1Ax
